"area","country","phase","phase_label","severity_category","validity_period","population_affected","pct_total_population"
"Gedo Riverine Pump Irrigation","SOM","1","Phase 1 - Minimal","Minimal","Current",23103,0.4000
"Gedo Riverine Pump Irrigation","SOM","2","Phase 2 - Stressed","Stressed","Current",20215,0.3500
"Gedo Riverine Pump Irrigation","SOM","3","Phase 3 - Crisis","Crisis","Current",11551,0.2000
"Gedo Riverine Pump Irrigation","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",14439,0.2500
"Gedo Riverine Pump Irrigation","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",2888,0.0500
"Gedo Riverine Pump Irrigation","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Gedo Riverine Pump Irrigation","SOM","ALL","All Phases - Total","Total","Current",57757,1.0000
"Gedo Southern Agro-Pastoral","SOM","1","Phase 1 - Minimal","Minimal","Current",28668,0.4500
"Gedo Southern Agro-Pastoral","SOM","2","Phase 2 - Stressed","Stressed","Current",25482,0.4000
"Gedo Southern Agro-Pastoral","SOM","3","Phase 3 - Crisis","Crisis","Current",9556,0.1500
"Gedo Southern Agro-Pastoral","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",9556,0.1500
"Gedo Southern Agro-Pastoral","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Gedo Southern Agro-Pastoral","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Gedo Southern Agro-Pastoral","SOM","ALL","All Phases - Total","Total","Current",63706,1.0000
"Gedo Southern Inland Pastoral","SOM","1","Phase 1 - Minimal","Minimal","Current",180905,0.4500
"Gedo Southern Inland Pastoral","SOM","2","Phase 2 - Stressed","Stressed","Current",160805,0.4000
"Gedo Southern Inland Pastoral","SOM","3","Phase 3 - Crisis","Crisis","Current",60302,0.1500
"Gedo Southern Inland Pastoral","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",60302,0.1500
"Gedo Southern Inland Pastoral","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Gedo Southern Inland Pastoral","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Gedo Southern Inland Pastoral","SOM","ALL","All Phases - Total","Total","Current",402012,1.0000
"Gedo Urban (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","1","Phase 1 - Minimal","Minimal","Current",58590,0.4500
"Gedo Urban (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","2","Phase 2 - Stressed","Stressed","Current",58590,0.4500
"Gedo Urban (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","3","Phase 3 - Crisis","Crisis","Current",13020,0.1000
"Gedo Urban (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",13020,0.1000
"Gedo Urban (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Gedo Urban (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Gedo Urban (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","ALL","All Phases - Total","Total","Current",130199,1.0000
"Gedo Urban (Doolow)","SOM","1","Phase 1 - Minimal","Minimal","Current",12038,0.4500
"Gedo Urban (Doolow)","SOM","2","Phase 2 - Stressed","Stressed","Current",12038,0.4500
"Gedo Urban (Doolow)","SOM","3","Phase 3 - Crisis","Crisis","Current",2675,0.1000
"Gedo Urban (Doolow)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",2675,0.1000
"Gedo Urban (Doolow)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Gedo Urban (Doolow)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Gedo Urban (Doolow)","SOM","ALL","All Phases - Total","Total","Current",26751,1.0000
"Gedo Urban IDPs (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","1","Phase 1 - Minimal","Minimal","Current",17004,0.1000
"Gedo Urban IDPs (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","2","Phase 2 - Stressed","Stressed","Current",68016,0.4000
"Gedo Urban IDPs (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","3","Phase 3 - Crisis","Crisis","Current",51012,0.3000
"Gedo Urban IDPs (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",85020,0.5000
"Gedo Urban IDPs (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",34008,0.2000
"Gedo Urban IDPs (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Gedo Urban IDPs (Baardheere, Belet Xaawo, Ceel Waaq, Garbahaarey and Luuq)","SOM","ALL","All Phases - Total","Total","Current",170039,1.0000
"Gedo Urban IDPs (Doolow)","SOM","1","Phase 1 - Minimal","Minimal","Current",26934,0.2000
"Gedo Urban IDPs (Doolow)","SOM","2","Phase 2 - Stressed","Stressed","Current",53869,0.4000
"Gedo Urban IDPs (Doolow)","SOM","3","Phase 3 - Crisis","Crisis","Current",33668,0.2500
"Gedo Urban IDPs (Doolow)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",53869,0.4000
"Gedo Urban IDPs (Doolow)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",20201,0.1500
"Gedo Urban IDPs (Doolow)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Gedo Urban IDPs (Doolow)","SOM","ALL","All Phases - Total","Total","Current",134672,1.0000
"Hiraan Cowpea Belt (Bulo Burto)","SOM","1","Phase 1 - Minimal","Minimal","Current",753,0.3000
"Hiraan Cowpea Belt (Bulo Burto)","SOM","2","Phase 2 - Stressed","Stressed","Current",1004,0.4000
"Hiraan Cowpea Belt (Bulo Burto)","SOM","3","Phase 3 - Crisis","Crisis","Current",628,0.2500
"Hiraan Cowpea Belt (Bulo Burto)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",753,0.3000
"Hiraan Cowpea Belt (Bulo Burto)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",126,0.0500
"Hiraan Cowpea Belt (Bulo Burto)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Hiraan Cowpea Belt (Bulo Burto)","SOM","ALL","All Phases - Total","Total","Current",2510,1.0000
"Hiraan Hawd Pastoral","SOM","1","Phase 1 - Minimal","Minimal","Current",21173,0.4500
"Hiraan Hawd Pastoral","SOM","2","Phase 2 - Stressed","Stressed","Current",18820,0.4000
"Hiraan Hawd Pastoral","SOM","3","Phase 3 - Crisis","Crisis","Current",4705,0.1000
"Hiraan Hawd Pastoral","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",7058,0.1500
"Hiraan Hawd Pastoral","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",2353,0.0500
"Hiraan Hawd Pastoral","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Hiraan Hawd Pastoral","SOM","ALL","All Phases - Total","Total","Current",47051,1.0000
"Hiraan Riverine Pump and Gravity Irrigation","SOM","1","Phase 1 - Minimal","Minimal","Current",13323,0.3000
"Hiraan Riverine Pump and Gravity Irrigation","SOM","2","Phase 2 - Stressed","Stressed","Current",17764,0.4000
"Hiraan Riverine Pump and Gravity Irrigation","SOM","3","Phase 3 - Crisis","Crisis","Current",11103,0.2500
"Hiraan Riverine Pump and Gravity Irrigation","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",13323,0.3000
"Hiraan Riverine Pump and Gravity Irrigation","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",2221,0.0500
"Hiraan Riverine Pump and Gravity Irrigation","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Hiraan Riverine Pump and Gravity Irrigation","SOM","ALL","All Phases - Total","Total","Current",44410,1.0000
"Hiraan Southern Agro-Pastoral","SOM","1","Phase 1 - Minimal","Minimal","Current",64027,0.3500
"Hiraan Southern Agro-Pastoral","SOM","2","Phase 2 - Stressed","Stressed","Current",45734,0.2500
"Hiraan Southern Agro-Pastoral","SOM","3","Phase 3 - Crisis","Crisis","Current",54880,0.3000
"Hiraan Southern Agro-Pastoral","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",73174,0.4000
"Hiraan Southern Agro-Pastoral","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",18293,0.1000
"Hiraan Southern Agro-Pastoral","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Hiraan Southern Agro-Pastoral","SOM","ALL","All Phases - Total","Total","Current",182934,1.0000
"Hiraan Southern Inland Pastoral","SOM","1","Phase 1 - Minimal","Minimal","Current",29198,0.4000
"Hiraan Southern Inland Pastoral","SOM","2","Phase 2 - Stressed","Stressed","Current",32848,0.4500
"Hiraan Southern Inland Pastoral","SOM","3","Phase 3 - Crisis","Crisis","Current",7300,0.1000
"Hiraan Southern Inland Pastoral","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",10949,0.1500
"Hiraan Southern Inland Pastoral","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",3650,0.0500
"Hiraan Southern Inland Pastoral","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Hiraan Southern Inland Pastoral","SOM","ALL","All Phases - Total","Total","Current",72996,1.0000
"Hiraan Urban (Belet Weyne)","SOM","1","Phase 1 - Minimal","Minimal","Current",15121,0.2500
"Hiraan Urban (Belet Weyne)","SOM","2","Phase 2 - Stressed","Stressed","Current",36291,0.6000
"Hiraan Urban (Belet Weyne)","SOM","3","Phase 3 - Crisis","Crisis","Current",6049,0.1000
"Hiraan Urban (Belet Weyne)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",9073,0.1500
"Hiraan Urban (Belet Weyne)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",3024,0.0500
"Hiraan Urban (Belet Weyne)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Hiraan Urban (Belet Weyne)","SOM","ALL","All Phases - Total","Total","Current",60485,1.0000
"Hiraan Urban (Bulo Burto and Jalalaqsi)","SOM","1","Phase 1 - Minimal","Minimal","Current",7279,0.2500
"Hiraan Urban (Bulo Burto and Jalalaqsi)","SOM","2","Phase 2 - Stressed","Stressed","Current",17470,0.6000
"Hiraan Urban (Bulo Burto and Jalalaqsi)","SOM","3","Phase 3 - Crisis","Crisis","Current",2912,0.1000
"Hiraan Urban (Bulo Burto and Jalalaqsi)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",4368,0.1500
"Hiraan Urban (Bulo Burto and Jalalaqsi)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",1456,0.0500
"Hiraan Urban (Bulo Burto and Jalalaqsi)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Hiraan Urban (Bulo Burto and Jalalaqsi)","SOM","ALL","All Phases - Total","Total","Current",29117,1.0000
"Hiraan Urban IDPs (Belet Weyne)","SOM","1","Phase 1 - Minimal","Minimal","Current",4000,0.0500
"Hiraan Urban IDPs (Belet Weyne)","SOM","2","Phase 2 - Stressed","Stressed","Current",28001,0.3500
"Hiraan Urban IDPs (Belet Weyne)","SOM","3","Phase 3 - Crisis","Crisis","Current",32001,0.4000
"Hiraan Urban IDPs (Belet Weyne)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",48002,0.6000
"Hiraan Urban IDPs (Belet Weyne)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",16001,0.2000
"Hiraan Urban IDPs (Belet Weyne)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Hiraan Urban IDPs (Belet Weyne)","SOM","ALL","All Phases - Total","Total","Current",80003,1.0000
"Hiraan Urban IDPs (Bulo Burto and Jalalaqsi)","SOM","1","Phase 1 - Minimal","Minimal","Current",537,0.1000
"Hiraan Urban IDPs (Bulo Burto and Jalalaqsi)","SOM","2","Phase 2 - Stressed","Stressed","Current",2148,0.4000
"Hiraan Urban IDPs (Bulo Burto and Jalalaqsi)","SOM","3","Phase 3 - Crisis","Crisis","Current",1611,0.3000
"Hiraan Urban IDPs (Bulo Burto and Jalalaqsi)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",2685,0.5000
"Hiraan Urban IDPs (Bulo Burto and Jalalaqsi)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",1074,0.2000
"Hiraan Urban IDPs (Bulo Burto and Jalalaqsi)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Hiraan Urban IDPs (Bulo Burto and Jalalaqsi)","SOM","ALL","All Phases - Total","Total","Current",5370,1.0000
"Juba Pastoral (M Juba and L Juba)","SOM","1","Phase 1 - Minimal","Minimal","Current",43721,0.3000
"Juba Pastoral (M Juba and L Juba)","SOM","2","Phase 2 - Stressed","Stressed","Current",51008,0.3500
"Juba Pastoral (M Juba and L Juba)","SOM","3","Phase 3 - Crisis","Crisis","Current",29147,0.2000
"Juba Pastoral (M Juba and L Juba)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",51008,0.3500
"Juba Pastoral (M Juba and L Juba)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",21860,0.1500
"Juba Pastoral (M Juba and L Juba)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Juba Pastoral (M Juba and L Juba)","SOM","ALL","All Phases - Total","Total","Current",145736,1.0000
"Juba Riverine Gravity Irrigation (L Juba & M Juba)","SOM","1","Phase 1 - Minimal","Minimal","Current",52677,0.3000
"Juba Riverine Gravity Irrigation (L Juba & M Juba)","SOM","2","Phase 2 - Stressed","Stressed","Current",70236,0.4000
"Juba Riverine Gravity Irrigation (L Juba & M Juba)","SOM","3","Phase 3 - Crisis","Crisis","Current",43897,0.2500
"Juba Riverine Gravity Irrigation (L Juba & M Juba)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",52677,0.3000
"Juba Riverine Gravity Irrigation (L Juba & M Juba)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",8779,0.0500
"Juba Riverine Gravity Irrigation (L Juba & M Juba)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Juba Riverine Gravity Irrigation (L Juba & M Juba)","SOM","ALL","All Phases - Total","Total","Current",175589,1.0000
"Juba Riverine Pump and Gravity Irrigation (M Juba)","SOM","1","Phase 1 - Minimal","Minimal","Current",14724,0.1500
"Juba Riverine Pump and Gravity Irrigation (M Juba)","SOM","2","Phase 2 - Stressed","Stressed","Current",44172,0.4500
"Juba Riverine Pump and Gravity Irrigation (M Juba)","SOM","3","Phase 3 - Crisis","Crisis","Current",24540,0.2500
"Juba Riverine Pump and Gravity Irrigation (M Juba)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",39264,0.4000
"Juba Riverine Pump and Gravity Irrigation (M Juba)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",14724,0.1500
"Juba Riverine Pump and Gravity Irrigation (M Juba)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Juba Riverine Pump and Gravity Irrigation (M Juba)","SOM","ALL","All Phases - Total","Total","Current",98161,1.0000
"Juba Sorghum High Potential Agropastoral (M Juba)","SOM","1","Phase 1 - Minimal","Minimal","Current",9851,0.3000
"Juba Sorghum High Potential Agropastoral (M Juba)","SOM","2","Phase 2 - Stressed","Stressed","Current",14777,0.4500
"Juba Sorghum High Potential Agropastoral (M Juba)","SOM","3","Phase 3 - Crisis","Crisis","Current",4926,0.1500
"Juba Sorghum High Potential Agropastoral (M Juba)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",8209,0.2500
"Juba Sorghum High Potential Agropastoral (M Juba)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",3284,0.1000
"Juba Sorghum High Potential Agropastoral (M Juba)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Juba Sorghum High Potential Agropastoral (M Juba)","SOM","ALL","All Phases - Total","Total","Current",32837,1.0000
"Juba Southern Agro-Pastoral (M Juba and L Juba)","SOM","1","Phase 1 - Minimal","Minimal","Current",29542,0.4500
"Juba Southern Agro-Pastoral (M Juba and L Juba)","SOM","2","Phase 2 - Stressed","Stressed","Current",26260,0.4000
"Juba Southern Agro-Pastoral (M Juba and L Juba)","SOM","3","Phase 3 - Crisis","Crisis","Current",9847,0.1500
"Juba Southern Agro-Pastoral (M Juba and L Juba)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",9847,0.1500
"Juba Southern Agro-Pastoral (M Juba and L Juba)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Juba Southern Agro-Pastoral (M Juba and L Juba)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Juba Southern Agro-Pastoral (M Juba and L Juba)","SOM","ALL","All Phases - Total","Total","Current",65649,1.0000
"Juba Southern Inland Pastoral (M Juba and L Juba)","SOM","1","Phase 1 - Minimal","Minimal","Current",97982,0.6000
"Juba Southern Inland Pastoral (M Juba and L Juba)","SOM","2","Phase 2 - Stressed","Stressed","Current",48991,0.3000
"Juba Southern Inland Pastoral (M Juba and L Juba)","SOM","3","Phase 3 - Crisis","Crisis","Current",16330,0.1000
"Juba Southern Inland Pastoral (M Juba and L Juba)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",16330,0.1000
"Juba Southern Inland Pastoral (M Juba and L Juba)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Juba Southern Inland Pastoral (M Juba and L Juba)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Juba Southern Inland Pastoral (M Juba and L Juba)","SOM","ALL","All Phases - Total","Total","Current",163303,1.0000
"Juba Southern Rainfed (M Juba and L Juba)","SOM","1","Phase 1 - Minimal","Minimal","Current",124529,0.5000
"Juba Southern Rainfed (M Juba and L Juba)","SOM","2","Phase 2 - Stressed","Stressed","Current",62265,0.2500
"Juba Southern Rainfed (M Juba and L Juba)","SOM","3","Phase 3 - Crisis","Crisis","Current",49812,0.2000
"Juba Southern Rainfed (M Juba and L Juba)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",62265,0.2500
"Juba Southern Rainfed (M Juba and L Juba)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",12453,0.0500
"Juba Southern Rainfed (M Juba and L Juba)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Juba Southern Rainfed (M Juba and L Juba)","SOM","ALL","All Phases - Total","Total","Current",249058,1.0000
"Lower Juba Urban (Afmadow, Badhaadhe and Jamaame)","SOM","1","Phase 1 - Minimal","Minimal","Current",101543,0.4500
"Lower Juba Urban (Afmadow, Badhaadhe and Jamaame)","SOM","2","Phase 2 - Stressed","Stressed","Current",112825,0.5000
"Lower Juba Urban (Afmadow, Badhaadhe and Jamaame)","SOM","3","Phase 3 - Crisis","Crisis","Current",11283,0.0500
"Lower Juba Urban (Afmadow, Badhaadhe and Jamaame)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",11283,0.0500
"Lower Juba Urban (Afmadow, Badhaadhe and Jamaame)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Lower Juba Urban (Afmadow, Badhaadhe and Jamaame)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Lower Juba Urban (Afmadow, Badhaadhe and Jamaame)","SOM","ALL","All Phases - Total","Total","Current",225650,1.0000
"Lower Juba Urban (Kismaayo)","SOM","1","Phase 1 - Minimal","Minimal","Current",9821,0.4500
"Lower Juba Urban (Kismaayo)","SOM","2","Phase 2 - Stressed","Stressed","Current",10913,0.5000
"Lower Juba Urban (Kismaayo)","SOM","3","Phase 3 - Crisis","Crisis","Current",1091,0.0500
"Lower Juba Urban (Kismaayo)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",1091,0.0500
"Lower Juba Urban (Kismaayo)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Lower Juba Urban (Kismaayo)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Lower Juba Urban (Kismaayo)","SOM","ALL","All Phases - Total","Total","Current",21825,1.0000
"Lower Juba Urban IDPs (Afmadow and Jamaame)","SOM","1","Phase 1 - Minimal","Minimal","Current",32409,0.5000
"Lower Juba Urban IDPs (Afmadow and Jamaame)","SOM","2","Phase 2 - Stressed","Stressed","Current",16205,0.2500
"Lower Juba Urban IDPs (Afmadow and Jamaame)","SOM","3","Phase 3 - Crisis","Crisis","Current",16205,0.2500
"Lower Juba Urban IDPs (Afmadow and Jamaame)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",16205,0.2500
"Lower Juba Urban IDPs (Afmadow and Jamaame)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Lower Juba Urban IDPs (Afmadow and Jamaame)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Lower Juba Urban IDPs (Afmadow and Jamaame)","SOM","ALL","All Phases - Total","Total","Current",64818,1.0000
"Lower Juba Urban IDPs (Kismaayo)","SOM","1","Phase 1 - Minimal","Minimal","Current",39459,0.2000
"Lower Juba Urban IDPs (Kismaayo)","SOM","2","Phase 2 - Stressed","Stressed","Current",78917,0.4000
"Lower Juba Urban IDPs (Kismaayo)","SOM","3","Phase 3 - Crisis","Crisis","Current",49323,0.2500
"Lower Juba Urban IDPs (Kismaayo)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",78917,0.4000
"Lower Juba Urban IDPs (Kismaayo)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",29594,0.1500
"Lower Juba Urban IDPs (Kismaayo)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Lower Juba Urban IDPs (Kismaayo)","SOM","ALL","All Phases - Total","Total","Current",197293,1.0000
"Lower Shabelle Urban (Afgooye, Baraawe, Kurtunwaarey, Marka, Qoryooley, Sablaale and Wanla Weyn)","SOM","1","Phase 1 - Minimal","Minimal","Current",220544,0.4500
"Lower Shabelle Urban (Afgooye, Baraawe, Kurtunwaarey, Marka, Qoryooley, Sablaale and Wanla Weyn)","SOM","2","Phase 2 - Stressed","Stressed","Current",245049,0.5000
"Lower Shabelle Urban (Afgooye, Baraawe, Kurtunwaarey, Marka, Qoryooley, Sablaale and Wanla Weyn)","SOM","3","Phase 3 - Crisis","Crisis","Current",24505,0.0500
"Lower Shabelle Urban (Afgooye, Baraawe, Kurtunwaarey, Marka, Qoryooley, Sablaale and Wanla Weyn)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",24505,0.0500
"Lower Shabelle Urban (Afgooye, Baraawe, Kurtunwaarey, Marka, Qoryooley, Sablaale and Wanla Weyn)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Lower Shabelle Urban (Afgooye, Baraawe, Kurtunwaarey, Marka, Qoryooley, Sablaale and Wanla Weyn)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Lower Shabelle Urban (Afgooye, Baraawe, Kurtunwaarey, Marka, Qoryooley, Sablaale and Wanla Weyn)","SOM","ALL","All Phases - Total","Total","Current",490097,1.0000
"Lower Shabelle Urban IDPs (Afgooye, Baraawe, Marka and Wanla Weyn)","SOM","1","Phase 1 - Minimal","Minimal","Current",9599,0.1000
"Lower Shabelle Urban IDPs (Afgooye, Baraawe, Marka and Wanla Weyn)","SOM","2","Phase 2 - Stressed","Stressed","Current",43197,0.4500
"Lower Shabelle Urban IDPs (Afgooye, Baraawe, Marka and Wanla Weyn)","SOM","3","Phase 3 - Crisis","Crisis","Current",23999,0.2500
"Lower Shabelle Urban IDPs (Afgooye, Baraawe, Marka and Wanla Weyn)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",43197,0.4500
"Lower Shabelle Urban IDPs (Afgooye, Baraawe, Marka and Wanla Weyn)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",19199,0.2000
"Lower Shabelle Urban IDPs (Afgooye, Baraawe, Marka and Wanla Weyn)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Lower Shabelle Urban IDPs (Afgooye, Baraawe, Marka and Wanla Weyn)","SOM","ALL","All Phases - Total","Total","Current",95994,1.0000
"Middle Juba Urban (Bu'aale, Jilib and Saakow)","SOM","1","Phase 1 - Minimal","Minimal","Current",95205,0.4500
"Middle Juba Urban (Bu'aale, Jilib and Saakow)","SOM","2","Phase 2 - Stressed","Stressed","Current",105784,0.5000
"Middle Juba Urban (Bu'aale, Jilib and Saakow)","SOM","3","Phase 3 - Crisis","Crisis","Current",10578,0.0500
"Middle Juba Urban (Bu'aale, Jilib and Saakow)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",10578,0.0500
"Middle Juba Urban (Bu'aale, Jilib and Saakow)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Middle Juba Urban (Bu'aale, Jilib and Saakow)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Middle Juba Urban (Bu'aale, Jilib and Saakow)","SOM","ALL","All Phases - Total","Total","Current",211567,1.0000
"Middle Shabelle Urban (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","1","Phase 1 - Minimal","Minimal","Current",114215,0.4500
"Middle Shabelle Urban (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","2","Phase 2 - Stressed","Stressed","Current",126906,0.5000
"Middle Shabelle Urban (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","3","Phase 3 - Crisis","Crisis","Current",12691,0.0500
"Middle Shabelle Urban (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",12691,0.0500
"Middle Shabelle Urban (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Middle Shabelle Urban (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Middle Shabelle Urban (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","ALL","All Phases - Total","Total","Current",253812,1.0000
"Middle Shabelle Urban IDPs (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","1","Phase 1 - Minimal","Minimal","Current",12205,0.1500
"Middle Shabelle Urban IDPs (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","2","Phase 2 - Stressed","Stressed","Current",28479,0.3500
"Middle Shabelle Urban IDPs (Adan Yabaal, Balcad, Cadale and Jowhar)","SOM","3","Phase 3 - Crisis","Crisis","Current",24410,0.3000
