"area","country","phase","phase_label","severity_category","validity_period","population_affected","pct_total_population"
"Bakool Urban (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bakool Urban (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","ALL","All Phases - Total","Total","Current",54800,1.0000
"Bakool Urban (Xudur)","SOM","1","Phase 1 - Minimal","Minimal","Current",6738,0.5000
"Bakool Urban (Xudur)","SOM","2","Phase 2 - Stressed","Stressed","Current",6064,0.4500
"Bakool Urban (Xudur)","SOM","3","Phase 3 - Crisis","Crisis","Current",674,0.0500
"Bakool Urban (Xudur)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",674,0.0500
"Bakool Urban (Xudur)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Bakool Urban (Xudur)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bakool Urban (Xudur)","SOM","ALL","All Phases - Total","Total","Current",13476,1.0000
"Bakool Urban IDPs (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","1","Phase 1 - Minimal","Minimal","Current",2665,0.1500
"Bakool Urban IDPs (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","2","Phase 2 - Stressed","Stressed","Current",5330,0.3000
"Bakool Urban IDPs (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","3","Phase 3 - Crisis","Crisis","Current",5330,0.3000
"Bakool Urban IDPs (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",9771,0.5500
"Bakool Urban IDPs (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",4442,0.2500
"Bakool Urban IDPs (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bakool Urban IDPs (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","ALL","All Phases - Total","Total","Current",17766,1.0000
"Bakool Urban IDPs (Xudur)","SOM","1","Phase 1 - Minimal","Minimal","Current",2608,0.0500
"Bakool Urban IDPs (Xudur)","SOM","2","Phase 2 - Stressed","Stressed","Current",26078,0.5000
"Bakool Urban IDPs (Xudur)","SOM","3","Phase 3 - Crisis","Crisis","Current",13039,0.2500
"Bakool Urban IDPs (Xudur)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",23470,0.4500
"Bakool Urban IDPs (Xudur)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",10431,0.2000
"Bakool Urban IDPs (Xudur)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bakool Urban IDPs (Xudur)","SOM","ALL","All Phases - Total","Total","Current",52155,1.0000
"Banadir Urban (Mogadishu)","SOM","1","Phase 1 - Minimal","Minimal","Current",1127379,0.6500
"Banadir Urban (Mogadishu)","SOM","2","Phase 2 - Stressed","Stressed","Current",607050,0.3500
"Banadir Urban (Mogadishu)","SOM","3","Phase 3 - Crisis","Crisis","Current",0,0.0000
"Banadir Urban (Mogadishu)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",0,0.0000
"Banadir Urban (Mogadishu)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Banadir Urban (Mogadishu)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Banadir Urban (Mogadishu)","SOM","ALL","All Phases - Total","Total","Current",1734429,1.0000
"Banadir Urban IDPs (Mogadishu)","SOM","1","Phase 1 - Minimal","Minimal","Current",110927,0.1000
"Banadir Urban IDPs (Mogadishu)","SOM","2","Phase 2 - Stressed","Stressed","Current",499173,0.4500
"Banadir Urban IDPs (Mogadishu)","SOM","3","Phase 3 - Crisis","Crisis","Current",332782,0.3000
"Banadir Urban IDPs (Mogadishu)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",499173,0.4500
"Banadir Urban IDPs (Mogadishu)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",166391,0.1500
"Banadir Urban IDPs (Mogadishu)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
